category,type,subtype
Beneficial,A1,Fisheries management
Beneficial,A2,Fishery research and development
Beneficial,A3,Marine protected areas
Capacity-enhancing,B1,Boat construction and renovation
Capacity-enhancing,B2,Fisheries development projects
Capacity-enhancing,B3,Fishing port development
Capacity-enhancing,B4,Marketing and storage infrastructure
Capacity-enhancing,B5,Tax exemption
Capacity-enhancing,B6,Fishing access
Capacity-enhancing,B7,Fuel subsidies
Ambiguous,C1,Fisher assistance
Ambiguous,C2,Vessel buyback
Ambiguous,C3,Rural fisher communities