"","Id","Name","Category","Region","Change in biomass (%, 2050)","Change in catch (%, 2050)","Change in fishing mortality (%, 2050)","Change in revenue (%, 2050)","Change in biomass (%, 2080)","Change in catch (%, 2080)","Change in fishing mortality (%, 2080)","Change in revenue (%, 2080)","Subsidies affected ($)","Subsidies affected (%)"
"71","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Optional criteria]","Other & Multiple","Indian Ocean",3.71,0.64,-2.96,0.08,3.74,0.64,-2.98,0.08,901762691.212492,42.52
"72","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Optional criteria]","Other & Multiple","Indian Ocean",3.71,0.64,-2.96,0.08,3.73,0.64,-2.98,0.08,889364414.313437,41.93
"73","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Tiers]","Other & Multiple","Indian Ocean",4.98,0.83,-3.96,0.11,5,0.83,-3.97,0.11,1103624052.859,52.03
"74","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers]","Other & Multiple","Indian Ocean",4.98,0.83,-3.96,0.11,5,0.83,-3.97,0.11,1093063162.80623,51.54
"75","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - De minimis]","Other & Multiple","Indian Ocean",3.47,0.6,-2.78,0.08,3.5,0.61,-2.79,0.08,850036629.635937,40.08
"76","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis]","Other & Multiple","Indian Ocean",3.47,0.6,-2.78,0.08,3.5,0.6,-2.79,0.08,837636751.400944,39.49
"77","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Formula]","Other & Multiple","Indian Ocean",5.71,0.93,-4.52,0.12,5.74,0.93,-4.54,0.12,1284146452.43962,60.55
"78","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Formula]","Other & Multiple","Indian Ocean",5.71,0.93,-4.52,0.12,5.74,0.93,-4.54,0.12,1281642200.82592,60.43
"79","RD/TN/RL/136","Artisanal - Exemption","Other & Multiple","Indian Ocean",8.15,-6.19,-13.26,-0.83,8.16,-6.18,-13.26,-0.83,835502790.903166,39.39
"80","TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries","Chair's text - June 2021 [Full exemption + S&DT for all developing countries]","Other & Multiple","Indian Ocean",0.2,0.04,-0.16,0,0.21,0.04,-0.17,0.01,82132588.5905872,3.87
"81","TN/RL/W/276/Rev.1 | Full exemption","Chair's text - June 2021 [Full exemption]","Other & Multiple","Indian Ocean",8.15,-6.19,-13.26,-0.83,8.16,-6.18,-13.26,-0.83,835502790.903166,39.39
"82","TN/RL/W/276/Rev.1 | Managed exemption","Chair's text - June 2021 [Managed exemption]","Other & Multiple","Indian Ocean",5.97,0.07,-5.57,0.01,5.98,0.07,-5.57,0.01,1055611525.62147,49.77
"83","TN/RL/W/276/Rev.1 | Sustainability scenario","Chair's text - June 2021 [Sustainability scenario]","Other & Multiple","Indian Ocean",5.4,0.89,-4.28,0.12,5.43,0.89,-4.3,0.12,1216442118.62047,57.35
"84","WT/MIN(21)/W/5 | Full exemption","Chair's text - Nov 2021 [Full exemption]","Other & Multiple","Indian Ocean",0,0,0,0,0,0,0,0,354891.458239475,0.02
"85","WT/MIN(21)/W/5 | Managed exemption","Chair's text - Nov 2021 [Managed exemption]","Other & Multiple","Indian Ocean",3.38,-9.93,-12.87,-1.35,3.37,-9.93,-12.87,-1.36,769907590.958482,36.3
"86","WT/MIN(21)/W/5 | Sustainability scenario","Chair's text - Nov 2021 [Sustainability scenario]","Other & Multiple","Indian Ocean",5.4,0.89,-4.28,0.12,5.43,0.89,-4.3,0.12,1216442118.62047,57.35
"87","WT/MIN(21)/W/5 | Full exemption for domestic only","Chair's text - Nov 2021 [Full exemption for domestic only]","Other & Multiple","Indian Ocean",8.29,-9.09,-16.05,-1.24,8.31,-9.07,-16.05,-1.23,791832803.122285,37.33
"88","WT/MIN(21)/W/5 | Managed exemption for domestic only","Chair's text - Nov 2021 [Managed exemption for domestic only]","Other & Multiple","Indian Ocean",3.38,-9.96,-12.91,-1.36,3.38,-9.99,-12.94,-1.36,966985349.377506,45.59
"89","WT/MIN(22)/W/20","Chair's text - June 2022","Other & Multiple","Indian Ocean",3.38,-9.96,-12.91,-1.36,3.38,-9.99,-12.94,-1.36,966985349.377506,45.59
"90","WT/MIN(22)/W/22","Final Fisheries Subsidies Agreement","Other & Multiple","Indian Ocean",8.3,-5.45,-12.7,-0.73,8.3,-5.45,-12.7,-0.73,840442488.318413,39.63
"91","Ambitious Reform","All subsidies","Ambitious Reform","Pacific Ocean",19.26,6.65,-10.58,0.84,19.26,6.65,-10.58,0.84,12928479249.6677,74.27
"92","RD/TN/RL/87","IUU (Option A)","IUU","Pacific Ocean",0,0,0,0,0,0,0,0,3515044.71125154,0.02
"93","RD/TN/RL/104","IUU (Option B)","IUU","Pacific Ocean",0,0,0,0,0,0,0,0,3515044.71125154,0.02
"94","RD/TN/RL/113","Facilitator's working text - IUU","IUU","Pacific Ocean",0,0,0,0,0,0,0,0,3515044.71125154,0.02
"95","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU","Pacific Ocean",0,0,0,0,0,0,0,0,3515044.71125154,0.02
"96","RD/TN/RL/81","CAP - De minimis","OFOC","Pacific Ocean",0.48,0.19,-0.28,0.03,0.48,0.19,-0.28,0.03,437659735.586582,2.51
"97","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC","Pacific Ocean",1.89,0.73,-1.14,0.09,2.12,0.84,-1.25,0.11,2304592261.80168,13.24
"98","TN/RL/GEN/199","CAP - Optional criteria","OFOC","Pacific Ocean",1.79,0.72,-1.05,0.09,1.84,0.74,-1.08,0.1,1894198218.26274,10.88
"99","RD/TN/RL/91","OFOC - ABNJ","OFOC","Pacific Ocean",5.03,1.93,-2.95,0.25,5.28,2.05,-3.06,0.27,4446988857.40546,25.55
"100","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC","Pacific Ocean",8.41,3.2,-4.81,0.41,8.41,3.2,-4.81,0.41,4804907540.22743,27.6
"101","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC","Pacific Ocean",9.73,3.66,-5.53,0.47,9.73,3.66,-5.53,0.47,6337379168.30936,36.41
"102","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC","Pacific Ocean",11.26,4.17,-6.37,0.53,11.3,4.19,-6.39,0.54,9162310231.29636,52.64
"103","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC","Pacific Ocean",1.89,0.73,-1.14,0.09,2.12,0.84,-1.25,0.11,2304591671.13774,13.24
"104","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC","Pacific Ocean",3.93,1.5,-2.34,0.19,4.26,1.67,-2.48,0.22,3891515969.61794,22.36
"105","RD/TN/RL/124","CAP - Formula","OFOC","Pacific Ocean",11.04,4.11,-6.25,0.53,11.04,4.11,-6.25,0.53,7346110104.74884,42.2
"106","RD/TN/RL/124/Rev.1","CAP - Formula (revised)","OFOC","Pacific Ocean",10.4,3.89,-5.9,0.5,10.4,3.89,-5.9,0.5,6812873998.00909,39.14
"107","RD/TN/RL/77/Rev.2","Overfished - Negative effects (Option A)","Overfished","Pacific Ocean",0.06,0.02,-0.04,0,0.11,0.04,-0.07,0.01,449818248.611992,2.58
"108","RD/TN/RL/95","Overfished - Negative effects + rebuttable (Option B)","Overfished","Pacific Ocean",0.04,0.01,-0.02,0,0.07,0.03,-0.04,0,314476008.060479,1.81
"109","RD/TN/RL/119/Rev.1 | Objective definition","Facilitator's text - Overfished [Objective definition]","Overfished","Pacific Ocean",1.89,0.73,-1.14,0.09,2.12,0.84,-1.25,0.11,2304592261.80168,13.24
"110","RD/TN/RL/119/Rev.1 | Relevant authorities","Facilitator's text - Overfished [Relevant authorities]","Overfished","Pacific Ocean",0.06,0.02,-0.04,0,0.11,0.04,-0.07,0.01,449818248.611992,2.58
"111","TN/RL/GEN/202","Disputed waters","Other & Multiple","Pacific Ocean",0,0,0,0,0.01,0,0,0,64480301.5216354,0.37
"112","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple","Pacific Ocean",17.77,6.22,-9.81,0.79,17.77,6.22,-9.81,0.79,12726317105.0791,73.11
"113","TN/RL/GEN/200/Rev.1","S&DT","Other & Multiple","Pacific Ocean",9.75,3.64,-5.56,0.47,9.88,3.7,-5.62,0.48,8632049779.40212,49.59
"114","RD/TN/RL/126/Rev.2 | Objective definition","Chair's text - Consolidated text (Dec 2020) [Objective definition]","Other & Multiple","Pacific Ocean",4.42,1.69,-2.61,0.22,4.74,1.85,-2.76,0.24,4586889682.72767,26.35
"115","RD/TN/RL/126/Rev.2 | Relevant authorities","Chair's text - Consolidated text (Dec 2020) [Relevant authorities]","Other & Multiple","Pacific Ocean",4.43,1.7,-2.62,0.22,4.73,1.85,-2.75,0.24,4526564683.97245,26
"116","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Optional criteria]","Other & Multiple","Pacific Ocean",6.93,2.67,-3.98,0.34,6.93,2.67,-3.98,0.34,5211733973.06887,29.94
"117","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Optional criteria]","Other & Multiple","Pacific Ocean",6.91,2.67,-3.97,0.34,6.9,2.66,-3.97,0.34,5196872480.69388,29.86
"118","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Tiers]","Other & Multiple","Pacific Ocean",10.08,3.78,-5.72,0.49,10.08,3.78,-5.72,0.49,7031450937.89529,40.4
"119","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers]","Other & Multiple","Pacific Ocean",10.06,3.77,-5.71,0.48,10.06,3.77,-5.71,0.48,7030623774.29826,40.39
"120","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - De minimis]","Other & Multiple","Pacific Ocean",6.36,2.46,-3.66,0.32,6.36,2.46,-3.66,0.32,4600210614.88124,26.43
"121","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis]","Other & Multiple","Pacific Ocean",6.33,2.45,-3.65,0.32,6.33,2.45,-3.65,0.32,4539885616.12602,26.08
"122","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Formula]","Other & Multiple","Pacific Ocean",10.95,4.07,-6.2,0.52,10.95,4.07,-6.2,0.52,7727250680.89866,44.39
"123","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Formula]","Other & Multiple","Pacific Ocean",10.95,4.07,-6.2,0.52,10.95,4.07,-6.2,0.52,7741756694.68062,44.48
"124","RD/TN/RL/136","Artisanal - Exemption","Other & Multiple","Pacific Ocean",4.41,1.69,-2.61,0.22,4.7,1.83,-2.74,0.24,4395543955.46355,25.25
"125","TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries","Chair's text - June 2021 [Full exemption + S&DT for all developing countries]","Other & Multiple","Pacific Ocean",1.23,0.49,-0.73,0.06,1.3,0.52,-0.77,0.07,1528143109.40163,8.78
"126","TN/RL/W/276/Rev.1 | Full exemption","Chair's text - June 2021 [Full exemption]","Other & Multiple","Pacific Ocean",4.43,1.7,-2.62,0.22,4.73,1.85,-2.75,0.24,4526564683.97245,26
"127","TN/RL/W/276/Rev.1 | Managed exemption","Chair's text - June 2021 [Managed exemption]","Other & Multiple","Pacific Ocean",9.74,3.64,-5.55,0.47,9.87,3.7,-5.61,0.47,6814648666.44694,39.15
"128","TN/RL/W/276/Rev.1 | Sustainability scenario","Chair's text - June 2021 [Sustainability scenario]","Other & Multiple","Pacific Ocean",13.16,4.8,-7.39,0.61,13.16,4.8,-7.39,0.61,9613867216.87974,55.23
"129","WT/MIN(21)/W/5 | Full exemption","Chair's text - Nov 2021 [Full exemption]","Other & Multiple","Pacific Ocean",0.06,0.02,-0.04,0,0.11,0.04,-0.07,0.01,453230595.477166,2.6
"130","WT/MIN(21)/W/5 | Managed exemption","Chair's text - Nov 2021 [Managed exemption]","Other & Multiple","Pacific Ocean",14.94,5.36,-8.34,0.68,14.96,5.37,-8.34,0.68,8232446514.68204,47.3
"131","WT/MIN(21)/W/5 | Sustainability scenario","Chair's text - Nov 2021 [Sustainability scenario]","Other & Multiple","Pacific Ocean",13.16,4.8,-7.39,0.61,13.16,4.8,-7.39,0.61,9613867216.87974,55.23
"132","WT/MIN(21)/W/5 | Full exemption for domestic only","Chair's text - Nov 2021 [Full exemption for domestic only]","Other & Multiple","Pacific Ocean",4.13,1.58,-2.45,0.2,4.45,1.74,-2.6,0.23,4477566504.9509,25.72
"133","WT/MIN(21)/W/5 | Managed exemption for domestic only","Chair's text - Nov 2021 [Managed exemption for domestic only]","Other & Multiple","Pacific Ocean",15.01,5.38,-8.38,0.69,15.08,5.4,-8.41,0.69,9440712389.33714,54.24
"134","WT/MIN(22)/W/20","Chair's text - June 2022","Other & Multiple","Pacific Ocean",15.01,5.38,-8.38,0.69,15.08,5.4,-8.41,0.69,9435658773.43989,54.21
"135","WT/MIN(22)/W/22","Final Fisheries Subsidies Agreement","Other & Multiple","Pacific Ocean",3.93,1.5,-2.34,0.19,4.25,1.67,-2.48,0.22,3825387991.99014,21.98
